"","ID","BEEP_TIME","DAY","INEG","IPOS","RUM","SAV","SHAREN","SHAREP","PP","PPP","GEN","AGE"
"1",923666021,2020-04-11 09:31:00,2,-3,"NA","5","NA",6,"NA","0.52","0.72",1,27
"2",923666021,2020-04-13 15:30:00,3,-3,"NA","4","NA",3,"NA","0.52","0.72",1,27
"3",923666021,2020-04-10 21:54:00,1,-2,"NA","3","NA",1,"NA","0.52","0.72",1,27
"4",923666021,2020-04-11 16:58:00,2,-2,"NA","3","NA",1,"NA","0.52","0.72",1,27
"5",923666021,2020-04-10 13:50:00,1,-1,"NA","3","NA",7,"NA","0.52","0.72",1,27
"6",923666021,2020-04-11 18:25:00,2,-1,"NA","5","NA",3,"NA","0.52","0.72",1,27
"7",923666021,2020-04-13 17:22:00,3,-1,"NA","3","NA",1,"NA","0.52","0.72",1,27
"8",923666021,2020-04-13 21:29:00,3,-1,"NA","6","NA",7,"NA","0.52","0.72",1,27
"9",923666021,2020-04-11 19:48:00,2,NA,"1","NA","7",NA,"7","0.52","0.72",1,27
"10",923666021,2020-04-14 13:13:00,4,NA,"1","NA","3",NA,"5","0.52","0.72",1,27
"11",923666021,2020-04-10 16:17:00,1,NA,"2","NA","3",NA,"1","0.52","0.72",1,27
"12",923666021,2020-04-10 16:49:00,1,NA,"2","NA","6",NA,"4","0.52","0.72",1,27
"13",923666021,2020-04-11 11:18:00,2,NA,"2","NA","2",NA,"1","0.52","0.72",1,27
"14",923666021,2020-04-13 09:20:00,3,NA,"2","NA","1",NA,"4","0.52","0.72",1,27
"15",923666021,2020-04-13 13:11:00,3,NA,"2","NA","1",NA,"5","0.52","0.72",1,27
"16",923666021,2020-04-13 19:11:00,3,NA,"2","NA","3",NA,"6","0.52","0.72",1,27
"17",923666021,2020-04-14 08:15:00,4,NA,"2","NA","4",NA,"6","0.52","0.72",1,27
"18",923666021,2020-04-10 19:09:00,1,NA,"3","NA","1",NA,"3","0.52","0.72",1,27
"19",923666021,2020-04-13 12:04:00,3,NA,"3","NA","4",NA,"6","0.52","0.72",1,27
"20",923666021,2020-04-13 19:48:00,3,NA,"3","NA","2",NA,"4","0.52","0.72",1,27
"21",607385328,2020-04-10 21:22:00,1,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"22",607385328,2020-04-11 12:48:00,2,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"23",607385328,2020-04-13 12:01:00,3,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"24",446957952,2020-04-10 13:51:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"25",446957952,2020-04-10 16:49:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"26",446957952,2020-04-10 18:07:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"27",446957952,2020-04-10 13:51:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"28",446957952,2020-04-10 16:49:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"29",446957952,2020-04-10 18:07:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"30",241515814,2020-04-10 16:19:00,1,-1,"NA","5","NA",5,"NA","0.46","0.52",1,26
"31",241515814,2020-04-10 16:49:00,1,-1,"NA","5","NA",5,"NA","0.46","0.52",1,26
"32",241515814,2020-04-14 13:26:00,4,-1,"NA","4","NA",4,"NA","0.46","0.52",1,26
"33",241515814,2020-04-11 12:54:00,2,NA,"1","NA","4",NA,"5","0.46","0.80",1,26
"34",241515814,2020-04-11 14:14:00,2,NA,"1","NA","3",NA,"5","0.46","0.80",1,26
"35",241515814,2020-04-13 15:25:00,3,NA,"1","NA","2",NA,"4","0.46","0.80",1,26
"36",241515814,2020-04-13 19:49:00,3,NA,"1","NA","3",NA,"2","0.46","0.80",1,26
"37",241515814,2020-04-14 19:57:00,4,NA,"1","NA","3",NA,"4","0.46","0.80",1,26
"38",241515814,2020-04-10 19:19:00,1,NA,"2","NA","3",NA,"3","0.46","0.80",1,26
"39",241515814,2020-04-10 20:14:00,1,NA,"2","NA","3",NA,"4","0.46","0.80",1,26
"40",241515814,2020-04-11 11:26:00,2,NA,"2","NA","3",NA,"1","0.46","0.80",1,26
"41",241515814,2020-04-11 16:49:00,2,NA,"2","NA","5",NA,"5","0.46","0.80",1,26
"42",241515814,2020-04-13 07:39:00,3,NA,"2","NA","3",NA,"1","0.46","0.80",1,26
"43",241515814,2020-04-13 09:13:00,3,NA,"2","NA","4",NA,"1","0.46","0.80",1,26
"44",241515814,2020-04-13 19:15:00,3,NA,"2","NA","3",NA,"3","0.46","0.80",1,26
"45",241515814,2020-04-14 10:42:00,4,NA,"2","NA","2",NA,"3","0.46","0.80",1,26
"46",241515814,2020-04-14 16:54:00,4,NA,"2","NA","2",NA,"3","0.46","0.80",1,26
"47",841102158,2020-04-10 16:18:00,1,NA,"3","NA","7",NA,"7","0.94","1.08",1,34
"48",446957952,2020-04-10 13:51:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"49",446957952,2020-04-10 16:49:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"50",446957952,2020-04-10 18:07:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"51",677889111,2020-04-14 15:31:00,4,NA,"1","NA","0",NA,"0","0.67","0.64",1,33
"52",426559982,2020-04-10 15:19:00,1,-2,"NA","2","NA",7,"NA","0.97","0.65",2,24
"53",426559982,2020-04-14 11:30:00,4,-1,"NA","3","NA",5,"NA","0.97","0.65",2,24
"54",426559982,2020-04-10 21:58:00,1,NA,"1","NA","1",NA,"2","0.97","0.65",2,24
"55",426559982,2020-04-10 14:29:00,1,NA,"2","NA","2",NA,"1","0.97","0.65",2,24
"56",426559982,2020-04-10 17:53:00,1,NA,"2","NA","1",NA,"1","0.97","0.65",2,24
"57",426559982,2020-04-10 20:00:00,1,NA,"2","NA","5",NA,"1","0.97","0.65",2,24
"58",426559982,2020-04-11 11:09:00,2,NA,"2","NA","2",NA,"1","0.97","0.65",2,24
"59",426559982,2020-04-11 19:19:00,2,NA,"2","NA","5",NA,"3","0.97","0.65",2,24
"60",426559982,2020-04-13 18:14:00,3,NA,"2","NA","2",NA,"1","0.97","0.65",2,24
"61",426559982,2020-04-10 18:54:00,1,NA,"3","NA","1",NA,"6","0.97","0.65",2,24
"62",426559982,2020-04-11 16:04:00,2,NA,"3","NA","4",NA,"3","0.97","0.65",2,24
"63",426559982,2020-04-11 20:47:00,2,NA,"3","NA","2",NA,"2","0.97","0.65",2,24
"64",607385328,2020-04-10 21:22:00,1,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"65",607385328,2020-04-11 12:48:00,2,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"66",607385328,2020-04-13 12:01:00,3,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"67",650744401,2020-04-10 11:44:00,1,NA,"1","NA","0",NA,"0","0.80","1.48",2,31
"68",677889111,2020-04-14 15:31:00,4,NA,"1","NA","0",NA,"0","0.67","0.64",1,33
"69",607385328,2020-04-10 21:22:00,1,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"70",607385328,2020-04-11 12:48:00,2,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"71",607385328,2020-04-13 12:01:00,3,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"72",677889111,2020-04-14 15:31:00,4,NA,"1","NA","0",NA,"0","0.67","0.64",1,33
"73",91458382,2020-04-14 15:54:00,4,NA,"1","NA","0",NA,"0","1.44","0.67",1,30
"74",91458382,2020-04-15 10:13:00,5,NA,"1","NA","0",NA,"0","1.44","0.67",1,30
"75",607385328,2020-04-10 21:22:00,1,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"76",607385328,2020-04-11 12:48:00,2,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"77",607385328,2020-04-13 12:01:00,3,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"78",607385328,2020-04-10 21:22:00,1,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"79",607385328,2020-04-11 12:48:00,2,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"80",607385328,2020-04-13 12:01:00,3,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
